Year,Location,Area,Rainfall,Soil,temperature,Irrigation,Yeilds,Humidity,crop,Demand,Price
2020,Punjab,28,581.0,Alluvial,23,Drip,100286.79,50,Wheat,8.0,28.08
2020,Andhra Pradesh,48,801.0,Black,27,Sprinkler,113508.56,60,Groundnut,2.0,67.32
2020,Odisha,27,1786.0,Red,41,Basin,22526.6,50,Groundnut,2.0,69.36
2020,Uttar Pradesh,7,961.0,Alluvial,40,Drip,1981.66,40,Cotton,-15.0,49.3
2020,Odisha,7,1226.0,Red,36,Surface,1979.53,40,Cotton,-15.0,54.4
2020,Telangana,18,1076.0,Red,43,Sprinkler,21826.34,50,Groundnut,2.0,69.36
2020,Telangana,19,876.0,Red,33,Drip,52288.57,35,Paddy,5.0,31.5
2020,Chhattisgarh,42,1374.0,Red,28,Basin,109030.16,60,Paddy,5.0,28.35
2020,Chhattisgarh,50,1348.0,Laterite,35,Basin,124848.34,35,Wheat,8.0,27.0
2020,Andhra Pradesh,27,932.0,Black,26,Drip,62012.48,45,Groundnut,2.0,67.32
2020,Uttar Pradesh,39,614.0,Black,44,Sprinkler,9627.49,50,Cotton,-15.0,49.3
2020,Punjab,50,612.0,Black,34,Drip,35225.44,50,Cotton,-15.0,47.6
2020,Chhattisgarh,8,1267.0,Laterite,39,Surface,15167.46,50,Paddy,5.0,28.35
2020,Assam,8,2579.0,Laterite,38,Surface,16863.96,40,Paddy,5.0,29.4
2020,Tamil Nadu,36,848.0,Red,37,Sprinkler,78057.44,50,Paddy,5.0,29.4
2020,Punjab,28,792.0,Black,40,Sprinkler,15644.0,40,Cotton,-15.0,47.6
2020,Telangana,38,1130.0,Red,40,Drip,20922.84,50,Cotton,-15.0,54.4
2020,Assam,4,2665.0,Alluvial,30,Surface,8790.23,50,Paddy,5.0,29.4
2020,Punjab,43,628.0,Black,37,Drip,153470.08,50,Wheat,8.0,28.08
2020,West Bengal,16,2453.0,Saline,23,Surface,8143.45,60,Greengram,-5.0,86.45
2020,Odisha,8,1513.0,Laterite,43,Surface,1805.47,50,Cotton,-15.0,54.4
2020,Assam,47,2419.0,Red,33,Surface,45020.46,40,Tea,3.0,170.98
2020,Telangana,2,1042.0,Red,38,Sprinkler,1020.22,35,Cotton,-15.0,54.4
2020,Uttar Pradesh,44,1160.0,Alluvial,36,Basin,22871.7,50,Greengram,-5.0,81.7
2020,Tamil Nadu,21,874.0,Red,39,Furrow,7610.09,50,Cotton,-15.0,51.85
2020,Tamil Nadu,25,1065.0,Red,38,Sprinkler,8854.72,35,Cotton,-15.0,51.85
2020,Andhra Pradesh,16,1193.0,Black,38,Basin,30699.69,50,Paddy,5.0,30.45
2020,Chhattisgarh,34,1312.0,Red,26,Basin,72681.78,60,Maize,-5.0,22.8
2020,Chhattisgarh,46,1064.0,Laterite,23,Drip,144608.21,45,Wheat,8.0,27.0
2020,Odisha,47,1426.0,Red,43,Surface,28039.39,50,Groundnut,2.0,69.36
2020,Telangana,33,837.0,Black,23,Sprinkler,75930.96,60,Groundnut,2.0,69.36
2020,Assam,48,3255.0,Alluvial,23,Surface,59318.88,50,Tea,3.0,170.98
2020,Uttar Pradesh,44,750.0,Black,32,Sprinkler,26383.89,50,Greengram,-5.0,81.7
2020,Punjab,48,653.0,Black,34,Furrow,141262.76,40,Paddy,5.0,29.4
2020,Tamil Nadu,39,970.0,Laterite,23,Sprinkler,51437.97,60,Groundnut,2.0,65.28
2020,Assam,1,2803.0,Alluvial,42,Surface,1899.16,40,Paddy,5.0,29.4
2020,Punjab,28,571.0,Black,26,Drip,65485.41,50,Paddy,5.0,29.4
2020,Tamil Nadu,48,1157.0,Red,32,Surface,18303.28,35,Cotton,-15.0,51.85
2020,Tamil Nadu,7,870.0,Laterite,24,Furrow,2418.16,60,Cotton,-15.0,51.85
2020,West Bengal,42,2883.0,Alluvial,29,Surface,88187.64,60,Paddy,5.0,27.3
2020,Punjab,27,710.0,Black,37,Furrow,91754.42,40,Wheat,8.0,28.08
2020,Punjab,36,511.0,Black,27,Furrow,79959.09,50,Paddy,5.0,29.4
2020,Punjab,15,752.0,Black,31,Sprinkler,10173.51,50,Cotton,-15.0,47.6
2020,Telangana,23,1129.0,Laterite,24,Sprinkler,24172.76,60,Groundnut,2.0,69.36
2020,Punjab,4,623.0,Alluvial,40,Sprinkler,13827.47,40,Wheat,8.0,28.08
2020,Odisha,11,1568.0,Laterite,39,Basin,2836.0,35,Cotton,-15.0,54.4
2020,Andhra Pradesh,41,897.0,Black,33,Sprinkler,14396.07,50,Cotton,-15.0,52.7
2020,Andhra Pradesh,35,817.0,Laterite,25,Sprinkler,50668.79,45,Paddy,5.0,30.45
2020,West Bengal,37,1569.0,Alluvial,39,Surface,6488.96,50,Cotton,-15.0,47.6
2020,Assam,44,2009.0,Alluvial,23,Surface,94900.96,60,Paddy,5.0,29.4
2020,Tamil Nadu,15,1149.0,Laterite,25,Sprinkler,34418.85,45,Paddy,5.0,29.4
2020,Punjab,12,791.0,Alluvial,35,Furrow,28021.96,40,Paddy,5.0,29.4
2020,Assam,46,3488.0,Laterite,44,Surface,79839.3,40,Paddy,5.0,29.4
2020,Chhattisgarh,34,1014.0,Laterite,36,Sprinkler,88208.38,35,Maize,-5.0,22.8
2020,Assam,27,2670.0,Alluvial,36,Basin,31612.44,50,Jute,-10.0,45.9
2020,Telangana,46,1039.0,Laterite,32,Sprinkler,84608.86,50,Groundnut,2.0,69.36
2020,West Bengal,35,2030.0,Laterite,27,Surface,62363.43,50,Paddy,5.0,27.3
2020,Andhra Pradesh,26,1183.0,Red,33,Basin,29990.05,50,Paddy,5.0,30.45
2020,West Bengal,28,1902.0,Laterite,36,Basin,39430.62,40,Groundnut,2.0,62.22
2020,Chhattisgarh,3,1496.0,Laterite,42,Surface,5217.04,35,Maize,-5.0,22.8
2020,Punjab,8,642.0,Alluvial,23,Drip,5794.16,60,Cotton,-15.0,47.6
2020,Uttar Pradesh,20,877.0,Black,40,Sprinkler,43124.7,50,Groundnut,2.0,57.12
2020,Punjab,46,656.0,Black,33,Sprinkler,117779.05,50,Paddy,5.0,29.4
2020,Chhattisgarh,28,1266.0,Red,24,Basin,44979.38,45,Paddy,5.0,28.35
2020,Tamil Nadu,11,1014.0,Laterite,32,Drip,16401.35,50,Groundnut,2.0,65.28
2020,Uttar Pradesh,16,1161.0,Black,30,Basin,36756.16,50,Paddy,5.0,28.35
2020,Assam,12,3183.0,Alluvial,30,Basin,17585.41,50,Jute,-10.0,45.9
2020,Telangana,4,836.0,Red,42,Drip,6523.42,50,Paddy,5.0,31.5
2020,Odisha,4,1722.0,Red,26,Surface,8808.29,45,Paddy,5.0,31.5
2020,Assam,28,2061.0,Laterite,40,Basin,29679.63,40,Jute,-10.0,45.9
2020,Odisha,5,1436.0,Red,35,Surface,9128.85,35,Paddy,5.0,31.5
2020,Telangana,43,1026.0,Red,35,Sprinkler,117217.46,50,Paddy,5.0,31.5
2020,Andhra Pradesh,6,1033.0,Black,34,Drip,2187.09,50,Cotton,-15.0,52.7
2020,Chhattisgarh,50,1578.0,Red,43,Basin,93531.02,35,Maize,-5.0,22.8
2020,West Bengal,47,2368.0,Alluvial,40,Surface,7001.21,40,Cotton,-15.0,47.6
2020,Odisha,29,1758.0,Red,37,Surface,6823.48,50,Cotton,-15.0,54.4
2020,Telangana,42,883.0,Laterite,30,Sprinkler,59881.34,45,Groundnut,2.0,69.36
2020,Punjab,41,570.0,Alluvial,43,Drip,22282.2,50,Cotton,-15.0,47.6
2020,Chhattisgarh,3,1248.0,Red,32,Surface,8302.05,35,Wheat,8.0,27.0
2020,Assam,18,3402.0,Alluvial,42,Surface,30253.07,40,Paddy,5.0,29.4
2020,Uttar Pradesh,25,958.0,Black,25,Sprinkler,6731.03,60,Cotton,-15.0,49.3
2020,Tamil Nadu,31,844.0,Laterite,29,Furrow,46210.73,60,Groundnut,2.0,65.28
2020,Andhra Pradesh,9,1002.0,Black,31,Sprinkler,17121.81,50,Paddy,5.0,30.45
2020,Andhra Pradesh,24,1089.0,Black,30,Sprinkler,49720.63,60,Groundnut,2.0,67.32
2020,Uttar Pradesh,31,600.0,Black,40,Drip,10916.36,50,Cotton,-15.0,49.3
2020,Tamil Nadu,31,988.0,Laterite,41,Sprinkler,8588.91,35,Cotton,-15.0,51.85
2020,Chhattisgarh,18,1100.0,Red,34,Drip,54856.36,35,Maize,-5.0,22.8
2020,Assam,47,2534.0,Laterite,35,Surface,53720.08,40,Jute,-10.0,45.9
2020,Tamil Nadu,37,936.0,Red,23,Drip,23409.68,60,Groundnut,2.0,65.28
2020,Uttar Pradesh,12,953.0,Black,33,Drip,30651.51,40,Paddy,5.0,28.35
2020,Tamil Nadu,27,854.0,Laterite,43,Sprinkler,35238.56,35,Groundnut,2.0,65.28
2020,Uttar Pradesh,11,725.0,Alluvial,32,Sprinkler,33028.47,50,Groundnut,2.0,57.12
2020,Uttar Pradesh,19,905.0,Black,32,Drip,6170.58,50,Cotton,-15.0,49.3
2020,Odisha,28,1207.0,Laterite,23,Surface,6188.76,60,Cotton,-15.0,54.4
2020,Uttar Pradesh,15,1064.0,Black,36,Sprinkler,4282.34,40,Groundnut,2.0,57.12
2020,Andhra Pradesh,6,919.0,Black,36,Drip,1740.92,50,Cotton,-15.0,52.7
2020,Telangana,1,1000.0,Black,23,Drip,2047.82,60,Paddy,5.0,31.5
2020,Assam,8,3200.0,Alluvial,36,Surface,12854.28,40,Jute,-10.0,45.9
2020,West Bengal,43,1617.0,Saline,36,Basin,20701.32,40,Greengram,-5.0,86.45
2020,Tamil Nadu,41,1071.0,Red,28,Sprinkler,116356.03,45,Paddy,5.0,29.4
2020,Odisha,2,1564.0,Laterite,42,Basin,422.41,50,Cotton,-15.0,54.4
2020,West Bengal,41,2370.0,Alluvial,34,Basin,23799.54,50,Greengram,-5.0,86.45
2020,Tamil Nadu,9,898.0,Laterite,23,Furrow,5850.41,45,Groundnut,2.0,65.28
2020,Tamil Nadu,17,1022.0,Red,25,Sprinkler,43403.04,60,Paddy,5.0,29.4
2020,Chhattisgarh,8,1019.0,Red,26,Drip,22746.96,60,Paddy,5.0,28.35
2020,Tamil Nadu,11,1026.0,Laterite,25,Sprinkler,30344.68,60,Paddy,5.0,29.4
2020,Odisha,34,1694.0,Red,34,Surface,22311.1,35,Groundnut,2.0,69.36
2020,Odisha,40,1503.0,Laterite,28,Surface,25641.45,45,Groundnut,2.0,69.36
2020,Odisha,38,1212.0,Laterite,40,Surface,34439.59,40,Groundnut,2.0,69.36
2020,Odisha,8,1706.0,Laterite,42,Surface,3785.17,40,Groundnut,2.0,69.36
2020,Chhattisgarh,26,1422.0,Red,38,Surface,58491.95,50,Wheat,8.0,27.0
2020,Uttar Pradesh,23,1002.0,Alluvial,24,Sprinkler,12746.82,60,Greengram,-5.0,81.7
2020,Andhra Pradesh,20,1012.0,Laterite,36,Sprinkler,20122.48,35,Paddy,5.0,30.45
2020,Assam,31,2149.0,Alluvial,38,Surface,60030.9,40,Paddy,5.0,29.4
2020,Odisha,35,1324.0,Laterite,23,Surface,27179.42,45,Groundnut,2.0,69.36
2020,Telangana,20,833.0,Black,36,Furrow,9393.83,35,Cotton,-15.0,54.4
2020,Punjab,13,642.0,Alluvial,32,Furrow,36899.93,40,Wheat,8.0,28.08
2020,Uttar Pradesh,45,1113.0,Black,26,Drip,25496.42,60,Greengram,-5.0,81.7
2020,West Bengal,18,2922.0,Alluvial,38,Basin,1797.21,50,Cotton,-15.0,47.6
2020,Odisha,10,1554.0,Red,43,Basin,7041.52,50,Groundnut,2.0,69.36
2020,Chhattisgarh,44,1560.0,Laterite,25,Basin,101360.0,60,Paddy,5.0,28.35
2020,Punjab,33,680.0,Black,24,Drip,20689.73,60,Cotton,-15.0,47.6
2020,Odisha,45,1463.0,Red,33,Surface,30194.08,35,Groundnut,2.0,69.36
2020,West Bengal,25,1813.0,Alluvial,33,Surface,14222.75,40,Greengram,-5.0,86.45
2020,Odisha,47,1322.0,Laterite,39,Basin,103236.57,50,Paddy,5.0,31.5
2020,Odisha,11,1397.0,Laterite,42,Surface,14982.64,50,Paddy,5.0,31.5
2020,Tamil Nadu,5,855.0,Red,38,Sprinkler,6998.33,50,Groundnut,2.0,65.28
2020,Chhattisgarh,47,1269.0,Laterite,42,Surface,92184.02,50,Maize,-5.0,22.8
2020,Andhra Pradesh,33,1112.0,Red,25,Drip,28300.79,60,Groundnut,2.0,67.32
2020,Assam,29,2360.0,Red,30,Basin,38791.57,50,Tea,3.0,170.98
2020,Odisha,5,1777.0,Laterite,23,Surface,1133.04,45,Cotton,-15.0,54.4
2020,Telangana,37,1111.0,Laterite,29,Drip,87538.33,60,Paddy,5.0,31.5
2020,Odisha,45,1483.0,Laterite,38,Basin,38687.33,50,Groundnut,2.0,69.36
2020,Andhra Pradesh,38,870.0,Black,37,Sprinkler,8391.34,50,Cotton,-15.0,52.7
2020,Andhra Pradesh,9,1055.0,Laterite,37,Sprinkler,7947.96,50,Groundnut,2.0,67.32
2020,West Bengal,21,2017.0,Saline,26,Surface,10020.15,60,Greengram,-5.0,86.45
2020,Odisha,9,1204.0,Laterite,24,Surface,19195.76,50,Paddy,5.0,31.5
2020,Tamil Nadu,15,1085.0,Red,32,Sprinkler,10318.53,35,Groundnut,2.0,65.28
2020,West Bengal,4,2491.0,Laterite,29,Surface,639.79,50,Cotton,-15.0,47.6
2020,Tamil Nadu,22,1103.0,Laterite,28,Drip,23936.68,60,Groundnut,2.0,65.28
2020,Andhra Pradesh,29,852.0,Laterite,29,Furrow,56461.93,60,Paddy,5.0,30.45
2020,West Bengal,2,1278.0,Alluvial,40,Basin,433.34,50,Cotton,-15.0,47.6
2020,Odisha,16,1693.0,Red,27,Basin,26214.96,50,Paddy,5.0,31.5
2020,West Bengal,9,1269.0,Saline,30,Surface,5059.0,50,Greengram,-5.0,86.45
2020,Uttar Pradesh,6,732.0,Black,28,Drip,10316.72,60,Groundnut,2.0,57.12
2020,Andhra Pradesh,45,825.0,Black,27,Furrow,10621.28,60,Cotton,-15.0,52.7
2020,Uttar Pradesh,45,1109.0,Laterite,25,Sprinkler,114142.76,60,Paddy,5.0,28.35
2020,Andhra Pradesh,33,965.0,Red,38,Drip,39361.78,50,Paddy,5.0,30.45
2020,Assam,44,2463.0,Alluvial,26,Basin,46663.73,60,Tea,3.0,170.98
2020,Punjab,33,575.0,Alluvial,36,Sprinkler,93906.8,40,Wheat,8.0,28.08
2020,Assam,1,2700.0,Laterite,25,Basin,1240.97,60,Jute,-10.0,45.9
2020,Tamil Nadu,10,1077.0,Red,36,Sprinkler,4365.39,50,Cotton,-15.0,51.85
2020,Tamil Nadu,11,1020.0,Red,36,Drip,14413.82,50,Groundnut,2.0,65.28
2020,Tamil Nadu,3,1015.0,Red,26,Sprinkler,4396.96,45,Groundnut,2.0,65.28
2020,Odisha,40,1418.0,Laterite,34,Surface,40497.81,40,Groundnut,2.0,69.36
2020,Punjab,29,598.0,Black,34,Furrow,12320.77,40,Cotton,-15.0,47.6
2020,Uttar Pradesh,19,934.0,Alluvial,26,Drip,10106.91,60,Greengram,-5.0,81.7
2020,Assam,6,2585.0,Red,26,Surface,6379.71,50,Tea,3.0,170.98
2020,Andhra Pradesh,39,1011.0,Red,37,Sprinkler,76616.47,35,Groundnut,2.0,67.32
2020,Chhattisgarh,36,1146.0,Laterite,33,Drip,118574.43,50,Wheat,8.0,27.0
2020,Uttar Pradesh,46,911.0,Alluvial,24,Drip,133839.0,50,Paddy,5.0,28.35
2020,Assam,38,3190.0,Red,44,Surface,41819.54,40,Tea,3.0,170.98
2020,Telangana,13,1035.0,Laterite,43,Sprinkler,12717.1,35,Groundnut,2.0,69.36
2020,Chhattisgarh,2,1228.0,Laterite,34,Basin,3886.16,50,Paddy,5.0,28.35
2020,Telangana,35,1039.0,Laterite,38,Sprinkler,35843.38,50,Groundnut,2.0,69.36
2020,Assam,24,2748.0,Red,39,Surface,25382.65,50,Tea,3.0,170.98
2020,Assam,43,2778.0,Alluvial,30,Basin,54665.5,50,Jute,-10.0,45.9
2020,West Bengal,24,2271.0,Laterite,42,Basin,39326.74,40,Paddy,5.0,27.3
2020,West Bengal,19,1294.0,Alluvial,27,Surface,35290.83,50,Groundnut,2.0,62.22
2020,Uttar Pradesh,3,892.0,Black,25,Sprinkler,1651.28,60,Greengram,-5.0,81.7
2020,Tamil Nadu,46,961.0,Red,36,Sprinkler,18673.66,50,Cotton,-15.0,51.85
2020,Telangana,38,1057.0,Black,24,Drip,20663.03,60,Cotton,-15.0,54.4
2020,Chhattisgarh,22,1388.0,Laterite,44,Surface,45571.73,50,Paddy,5.0,28.35
2020,Punjab,8,651.0,Black,30,Sprinkler,32268.46,50,Wheat,8.0,28.08
2020,Uttar Pradesh,20,614.0,Alluvial,28,Sprinkler,11628.98,60,Greengram,-5.0,81.7
2020,Assam,5,3303.0,Laterite,32,Basin,9458.2,40,Paddy,5.0,29.4
2020,Punjab,50,679.0,Black,30,Drip,129789.14,60,Paddy,5.0,29.4
2020,Punjab,32,646.0,Alluvial,35,Drip,16693.8,50,Cotton,-15.0,47.6
2020,Uttar Pradesh,46,780.0,Black,40,Drip,22752.15,40,Groundnut,2.0,57.12
2020,Assam,4,3032.0,Laterite,23,Basin,4517.28,60,Jute,-10.0,45.9
2020,West Bengal,44,2233.0,Alluvial,34,Surface,94274.53,50,Paddy,5.0,27.3
2020,Punjab,22,707.0,Black,25,Sprinkler,11154.81,60,Cotton,-15.0,47.6
2020,Uttar Pradesh,7,994.0,Black,40,Drip,3440.07,50,Greengram,-5.0,81.7
2020,Andhra Pradesh,49,842.0,Red,30,Drip,112968.16,45,Groundnut,2.0,67.32
2020,Andhra Pradesh,7,830.0,Laterite,25,Drip,7513.1,60,Groundnut,2.0,67.32
2020,Punjab,2,761.0,Alluvial,31,Furrow,1188.58,40,Cotton,-15.0,47.6
2020,Odisha,29,1559.0,Laterite,24,Surface,14649.03,50,Groundnut,2.0,69.36
2020,Chhattisgarh,9,1280.0,Red,31,Surface,25840.32,35,Wheat,8.0,27.0
2020,Tamil Nadu,50,939.0,Laterite,41,Sprinkler,18496.23,50,Cotton,-15.0,51.85
2020,Chhattisgarh,37,1060.0,Red,44,Sprinkler,109787.27,50,Wheat,8.0,27.0
2020,Odisha,16,1481.0,Red,33,Basin,14252.52,40,Groundnut,2.0,69.36
2020,West Bengal,22,1957.0,Laterite,38,Basin,3732.1,40,Cotton,-15.0,47.6
2020,Uttar Pradesh,44,823.0,Black,24,Furrow,20871.3,60,Greengram,-5.0,81.7
2020,Chhattisgarh,1,1428.0,Red,42,Surface,2503.26,35,Wheat,8.0,27.0
2020,Andhra Pradesh,21,1179.0,Red,44,Surface,46829.82,50,Paddy,5.0,30.45
2020,Andhra Pradesh,45,816.0,Laterite,34,Furrow,62151.8,35,Paddy,5.0,30.45
2020,Uttar Pradesh,21,1041.0,Laterite,26,Sprinkler,57559.86,60,Groundnut,2.0,57.12
2020,Andhra Pradesh,36,1110.0,Red,23,Sprinkler,72037.64,60,Groundnut,2.0,67.32
2020,Odisha,31,1586.0,Red,24,Basin,6541.77,50,Cotton,-15.0,54.4
2020,Chhattisgarh,41,1375.0,Laterite,23,Basin,114938.43,60,Wheat,8.0,27.0
2020,Uttar Pradesh,13,972.0,Black,43,Drip,2952.34,50,Cotton,-15.0,49.3
2020,Punjab,47,610.0,Black,31,Sprinkler,160975.89,50,Wheat,8.0,28.08
2020,Chhattisgarh,48,1489.0,Red,29,Basin,99530.72,60,Paddy,5.0,28.35
2020,Andhra Pradesh,42,919.0,Black,40,Drip,70274.9,35,Groundnut,2.0,67.32
2020,Assam,13,3066.0,Alluvial,27,Surface,25888.86,50,Paddy,5.0,29.4
2020,Punjab,13,509.0,Black,28,Sprinkler,42324.29,60,Paddy,5.0,29.4
2020,Tamil Nadu,1,1062.0,Laterite,42,Drip,1881.04,50,Paddy,5.0,29.4
2020,Uttar Pradesh,23,1137.0,Alluvial,40,Sprinkler,13051.3,50,Greengram,-5.0,81.7
2020,Telangana,29,960.0,Black,35,Drip,59078.09,50,Groundnut,2.0,69.36
2020,Odisha,36,1487.0,Laterite,39,Surface,9579.16,35,Cotton,-15.0,54.4
2020,Andhra Pradesh,31,1135.0,Red,39,Sprinkler,6234.39,35,Cotton,-15.0,52.7
2020,Andhra Pradesh,32,880.0,Laterite,23,Furrow,39781.86,45,Paddy,5.0,30.45
2020,Odisha,38,1656.0,Red,38,Basin,78068.73,35,Paddy,5.0,31.5
2020,Assam,20,3445.0,Alluvial,42,Basin,25464.01,40,Jute,-10.0,45.9
2020,Punjab,21,733.0,Black,24,Drip,58128.27,50,Paddy,5.0,29.4
2020,Uttar Pradesh,19,865.0,Alluvial,30,Sprinkler,5770.53,50,Cotton,-15.0,49.3
2020,Chhattisgarh,6,1254.0,Laterite,40,Basin,13242.59,50,Paddy,5.0,28.35
2020,Tamil Nadu,44,1019.0,Red,34,Sprinkler,71656.88,50,Groundnut,2.0,65.28
2020,Odisha,38,1622.0,Laterite,42,Surface,6347.63,40,Cotton,-15.0,54.4
2020,Andhra Pradesh,36,946.0,Black,38,Sprinkler,100757.91,50,Paddy,5.0,30.45
2020,Tamil Nadu,47,1049.0,Red,34,Sprinkler,111191.55,35,Paddy,5.0,29.4
2020,West Bengal,22,1221.0,Laterite,25,Basin,2892.51,50,Cotton,-15.0,47.6
2020,Telangana,37,904.0,Black,33,Drip,75427.66,50,Paddy,5.0,31.5
2020,Assam,18,2389.0,Alluvial,24,Surface,17947.55,50,Tea,3.0,170.98
2020,Uttar Pradesh,21,680.0,Black,26,Furrow,5930.74,60,Cotton,-15.0,49.3
2020,Tamil Nadu,5,811.0,Red,40,Sprinkler,12684.23,50,Paddy,5.0,29.4
2020,Assam,41,2811.0,Alluvial,39,Basin,80479.93,50,Paddy,5.0,29.4
2020,Uttar Pradesh,32,742.0,Alluvial,31,Drip,37413.71,50,Groundnut,2.0,57.12
2020,Tamil Nadu,24,927.0,Laterite,24,Sprinkler,29668.1,60,Groundnut,2.0,65.28
2020,Tamil Nadu,31,1106.0,Laterite,27,Sprinkler,43680.08,60,Groundnut,2.0,65.28
2020,Uttar Pradesh,41,1136.0,Black,32,Drip,14787.48,40,Cotton,-15.0,49.3
2020,Punjab,17,585.0,Alluvial,34,Sprinkler,59537.53,50,Wheat,8.0,28.08
2020,West Bengal,16,1542.0,Alluvial,30,Basin,2590.98,50,Cotton,-15.0,47.6
2020,Punjab,17,602.0,Black,34,Furrow,9646.87,40,Cotton,-15.0,47.6
2020,Chhattisgarh,25,1396.0,Laterite,27,Surface,56628.05,60,Maize,-5.0,22.8
2020,Punjab,31,574.0,Alluvial,27,Drip,20001.1,50,Cotton,-15.0,47.6
2020,Andhra Pradesh,30,928.0,Black,38,Sprinkler,9993.54,50,Cotton,-15.0,52.7
2020,Assam,45,2385.0,Alluvial,34,Basin,106128.49,40,Paddy,5.0,29.4
2020,Uttar Pradesh,8,951.0,Alluvial,23,Drip,16746.22,60,Groundnut,2.0,57.12
2020,Punjab,38,523.0,Alluvial,27,Furrow,16875.28,60,Cotton,-15.0,47.6
2020,Chhattisgarh,43,1229.0,Red,29,Basin,101161.28,60,Maize,-5.0,22.8
2020,West Bengal,1,1588.0,Laterite,25,Basin,160.33,50,Cotton,-15.0,47.6
2020,Uttar Pradesh,16,974.0,Black,25,Drip,43735.48,60,Groundnut,2.0,57.12
2020,Assam,46,3118.0,Alluvial,26,Surface,61534.56,50,Jute,-10.0,45.9
2020,Telangana,26,1055.0,Black,34,Drip,59859.36,35,Groundnut,2.0,69.36
